cajas;marcas;CLIENTES;VTAS;GRUPO
14;203;1435;2583;1
14;238;1470;2422;1
14;98;392;938;2
7;56;161;336;3
7;91;308;497;3
14;49;182;532;2
28;161;588;980;2
14;280;1883;3339;1
21;329;2604;5334;1
7;42;119;231;3
7;84;280;511;3
7;238;1393;2282;1
7;105;280;518;3
7;287;1428;2513;1
7;70;238;560;3
21;140;784;1085;2
28;154;679;1127;2
21;147;483;1232;2
14;161;574;805;2
21;112;406;623;2
21;147;658;945;2
14;147;539;2191;2
7;77;280;812;3
14;105;462;1029;2
7;119;700;1288;3
14;196;882;1540;2
7;84;378;896;3
7;154;602;1358;3
21;91;532;805;2
7;98;525;805;3
14;91;399;595;2
7;140;413;595;3
21;210;1134;1750;1
14;140;770;1169;2
28;168;560;1043;2
7;35;140;567;3
7;28;77;105;3
14;133;483;1372;2
7;161;525;1330;3
14;112;441;616;2
21;224;1176;1757;1
21;238;966;2135;1
7;154;924;1638;1
14;196;1260;2205;1
7;119;672;1113;3
14;98;392;623;2
21;217;707;1274;2
14;119;434;476;2
14;77;287;784;3
7;49;154;637;3
28;168;903;1211;2
7;56;266;875;2
21;154;665;1456;2
7;119;637;973;3
21;224;1953;3836;1
21;35;196;693;2
14;63;343;854;2
0;0;0;0;3
0;42;133;616;3
7;91;315;889;3
14;112;469;658;2
14;161;532;875;2
14;63;238;322;3
14;84;336;763;2
0;0;0;0;3
7;112;336;609;3
14;140;938;1470;2
14;224;1701;2989;1
28;154;889;1610;1
14;98;329;595;2
14;28;133;294;2
7;98;217;210;3
14;133;609;2219;2
14;21;119;742;3
7;28;133;336;3
14;210;1022;2366;1
21;112;364;791;2
21;210;910;1351;2
7;91;315;721;3
7;56;189;448;3
7;70;329;1260;3
7;35;119;602;3
0;196;798;1358;3
14;84;469;903;2
14;266;1596;2688;1
28;182;728;1302;2
14;56;294;427;3
7;147;497;1092;3
7;56;224;336;3
14;49;210;483;2
14;175;672;1449;1
21;77;322;413;3
7;70;189;336;3
21;63;343;651;2
7;266;1519;2877;1
7;210;882;1176;3
7;63;329;1008;3
7;63;245;511;3
14;7;28;105;3
7;63;364;497;3
14;56;273;1176;3
14;161;623;1162;2
7;133;616;714;3
14;49;252;798;2
7;21;105;210;3
7;28;119;434;3
7;42;119;280;3
21;287;1659;2667;1
14;91;364;574;2
14;105;455;1106;1
14;280;1736;3787;1
14;98;539;651;2
21;84;735;1169;1
14;91;371;602;2
14;49;154;196;2
7;35;133;462;3
21;119;791;1540;2
21;42;126;252;3
7;63;329;1050;3
7;287;1645;3024;1
14;42;217;945;3
7;56;196;294;3
7;63;378;1134;1
14;126;476;777;2
7;63;315;854;3
14;42;175;280;2
7;42;217;945;3
14;294;2058;5152;1
14;112;434;1099;2
7;7;42;126;3
14;7;28;147;3
7;56;168;546;3
28;301;1701;5229;1
14;168;770;1820;2
7;56;266;672;3
7;42;105;266;3
7;315;1736;3395;1
28;154;686;1953;1
14;210;987;2639;2
14;175;1022;1519;1
14;175;679;1442;2
7;112;371;791;3
21;168;693;1596;2
14;245;1309;1729;1
21;252;1358;2590;1
21;203;1029;1841;2
21;84;434;630;2
21;217;770;882;2
21;35;168;238;3
14;77;308;812;2
21;175;707;2191;1
14;63;203;630;3
28;336;1477;3108;1
7;315;1694;2765;1
14;154;1225;3654;1
7;140;532;1134;3
14;42;147;259;2
7;56;273;945;3
7;175;707;1988;3
21;98;343;1008;2
14;147;651;931;2
7;182;903;1589;1
14;175;994;1694;2
7;182;1183;6307;2
28;196;1645;4669;1
7;21;98;238;3
7;189;1043;1967;1
7;56;217;259;3
7;56;217;462;3
21;119;546;1323;2
14;217;1428;1890;1
7;63;322;427;3
7;119;546;686;3
14;105;406;1274;2
7;63;196;462;3
21;56;252;434;2
7;217;994;1253;3
14;126;448;1694;1
7;133;994;5803;1
14;161;756;1099;2
7;140;658;1043;3
14;168;686;1722;2
21;294;2009;3283;1
7;84;441;553;3
21;245;1470;2415;1
21;238;1232;2555;2
14;133;896;1687;2
21;245;1134;2751;1
7;28;112;245;3
21;203;1190;2044;1
14;182;707;1372;1
7;91;511;672;3
21;161;791;1106;2
28;119;511;1029;2
14;77;287;266;3
14;175;742;1960;2
14;154;574;1295;2
14;105;406;938;3
14;105;315;581;2
21;91;553;798;2
7;224;896;2184;2
21;126;441;1036;2
21;140;847;1260;2
14;217;1253;2324;1
7;175;1106;4011;1
14;98;427;1365;2
14;119;518;1295;2
21;175;700;2037;1
7;210;1337;2065;1
14;140;574;1022;2
21;252;1232;2401;1
14;168;1659;5733;1
21;161;721;756;2
21;133;567;1253;2
7;133;504;1722;3
21;224;1218;1834;1
7;98;420;1043;3
14;105;455;1050;2
21;224;1036;2226;1
7;154;658;1890;3
7;301;1638;3430;1
14;119;483;959;2
7;182;777;2457;2
21;161;595;875;2
7;154;518;1666;3
21;175;735;1169;2
14;126;476;910;2
7;182;910;1491;3
7;147;1036;2184;2
14;147;924;1827;1
14;245;1540;2667;1
21;217;1554;2870;1
14;98;511;791;2
14;70;329;1127;2
14;70;175;210;3
14;175;679;1386;2
7;56;189;462;3
7;91;378;931;3
7;70;238;420;3
14;126;525;1043;2
21;203;1365;2513;1
7;140;518;1323;3
7;56;287;511;3
14;112;973;3598;1
14;385;3409;7574;1
7;217;1232;1911;1
7;294;1099;1729;3
7;91;385;987;3
7;98;336;679;3
14;133;567;1582;2
14;189;1421;2688;1
14;35;168;448;2
14;105;434;448;2
14;203;840;2149;2
7;119;350;749;3
7;140;518;1477;3
7;119;392;1183;3
14;147;581;1267;2
7;154;693;1148;3
7;70;168;329;3
7;182;784;2212;2
14;133;532;1022;2
7;70;280;518;3
28;322;1736;3017;1
21;175;1015;2429;1
7;119;546;1435;2
14;147;658;1162;2
0;70;406;1204;3
7;105;441;441;3
14;210;1470;2352;1
21;77;490;945;2
14;98;357;539;2
14;112;434;763;2
14;140;651;861;2
14;224;1162;2331;1
14;245;1386;2611;1
7;77;259;497;3
7;35;133;273;3
21;280;1351;2520;1
7;119;434;672;3
7;147;448;1043;3
7;63;252;301;3
14;105;294;525;3
14;56;154;357;3
14;147;462;574;2
21;70;217;427;2
7;84;385;763;3
7;154;602;896;3
14;147;686;1491;2
14;168;1190;1883;1
14;70;630;2149;2
21;315;2002;3262;1
7;147;588;1148;3
14;154;700;1463;2
7;231;1834;3444;1
21;252;1820;3241;1
7;217;1309;1911;1
14;161;532;609;2
7;119;539;1435;3
7;98;392;1099;3
7;84;252;385;3
14;168;966;1288;2
21;133;679;1169;2
7;217;819;994;3
14;105;427;1085;2
21;315;1792;2387;1
7;217;1225;1687;1
14;140;665;1099;2
21;224;1001;2464;2
21;126;693;1239;2
14;203;1001;1708;2
14;182;721;819;2
21;217;910;1540;1
14;105;350;420;3
7;203;861;2471;2
7;77;693;2205;2
14;168;791;1190;2
7;294;1379;2926;2
21;203;1036;1323;2
0;56;140;238;3
14;154;644;1092;2
7;210;1050;2954;2
7;161;665;2170;2
7;154;770;1064;3
7;84;427;406;3
7;91;329;756;3
14;238;1631;2961;1
14;161;651;1456;2
7;154;511;1701;2
14;84;350;679;2
7;63;245;378;3
14;196;1519;3934;1
21;217;1484;2352;1
14;77;266;350;3
21;168;826;1428;1
7;21;91;266;3
21;266;1358;2478;1
14;119;420;1169;2
14;105;455;952;2
14;126;525;994;2
21;126;539;602;2
14;147;588;1106;2
21;168;805;1414;2
21;203;1162;1491;1
7;133;553;742;3
14;210;1162;1981;2
14;126;539;896;2
14;42;126;259;3
21;238;2233;6636;1
14;70;224;574;3
14;63;266;686;3
14;154;644;1526;2
7;154;924;1407;3
14;245;952;1869;2
7;35;105;147;3
14;119;511;749;3
7;98;406;1449;3
0;77;294;378;3
0;91;287;532;3
14;140;581;1008;2
21;84;378;623;2
7;84;441;987;3
21;217;1519;2814;1
7;182;742;707;3
14;119;539;1652;1
14;175;959;1498;2
14;70;364;910;2
7;91;371;798;3
21;98;525;1127;2
7;63;224;287;3
7;147;595;1232;3
14;56;273;798;2
21;91;301;392;3
21;133;595;1302;2
14;105;406;497;2
14;91;364;553;2
7;77;490;658;3
14;56;217;420;2
0;21;63;210;3
14;126;504;728;2
21;238;1715;3206;1
0;105;833;1610;3
7;105;441;742;3
14;35;91;140;2
7;42;182;378;3
21;350;2527;4732;1
14;217;1323;2289;1
14;84;399;1302;1
21;147;609;504;2
14;70;245;532;2
0;14;56;189;3
14;70;385;1029;2
7;63;189;266;3
7;91;504;889;3
7;7;7;0;3
14;77;371;693;2
14;56;266;441;2
14;98;630;889;1
14;245;1316;1673;1
7;63;189;147;3
14;140;1561;4809;1
7;112;427;1421;3
14;105;329;756;2
7;112;490;917;3
7;63;252;721;3
7;63;245;287;3
0;42;196;595;3
14;119;532;945;2
14;147;560;1659;2
7;196;679;1337;3
21;154;826;1169;2
21;126;560;903;2
7;126;406;539;3
7;315;1736;3290;1
7;266;1421;3374;1
7;273;1260;1869;3
7;56;266;245;3
14;56;210;560;2
7;140;875;1323;3
14;98;707;1344;2
14;84;308;553;2
21;210;1127;1925;1
21;133;658;1036;2
14;63;329;525;2
70;98;546;1085;1
7;280;1344;3311;2
14;112;476;749;2
21;91;259;595;2
21;315;2233;3339;1
14;217;1092;2170;1
14;91;413;525;2
14;77;280;651;2
14;112;1421;3024;1
14;245;1085;1617;1
14;133;504;553;2
14;91;364;602;3
14;147;609;924;2
7;63;315;343;3
21;147;637;1288;2
14;182;539;854;2
14;140;917;1666;2
14;196;812;2443;2
14;126;378;518;2
7;42;133;182;3
21;224;1288;3955;1
7;42;140;259;3
14;63;336;539;2
14;231;1932;3353;1
7;49;161;308;3
7;98;413;875;3
7;84;434;1582;1
7;84;378;602;3
14;63;203;483;2
14;294;1309;1883;1
0;70;357;371;3
14;273;1428;2233;1
7;105;329;371;3
14;112;819;1421;2
7;140;546;1743;3
14;70;350;399;3
14;56;252;455;2
21;175;637;1568;2
14;203;1155;2737;1
7;28;84;63;3
14;112;462;1197;2
14;112;455;1106;2
7;126;462;1400;2
14;112;434;1267;2
21;105;378;623;2
14;63;469;735;2
7;77;329;882;2
21;140;665;1981;1
14;98;749;1008;2
21;119;546;966;2
21;84;448;742;2
21;77;385;518;2
14;182;714;1743;2
7;21;70;182;3
7;84;455;868;3
0;84;385;406;3
7;70;385;532;3
21;203;1043;1561;2
21;175;1134;1750;1
21;182;700;924;2
14;21;63;105;3
21;140;931;1568;1
14;49;329;399;1
14;112;455;1274;1
14;280;2072;3353;1
7;84;392;847;3
7;105;504;728;3
7;112;329;511;3
21;126;546;945;2
7;49;182;182;3
7;119;441;742;3
21;259;1869;3024;1
14;84;392;595;2
7;21;77;154;3
7;42;182;532;3
21;161;987;1379;2
7;77;231;539;3
14;196;763;1043;2
21;42;175;301;2
0;35;140;133;3
7;154;700;1351;3
7;203;756;770;3
7;77;364;602;3
14;175;1022;1638;1
14;266;2065;4158;1
7;70;189;175;3
14;49;161;259;3
21;42;154;266;3
14;168;658;1869;2
21;350;1974;2583;1
14;168;700;1036;2
21;133;735;1407;1
14;84;287;679;3
21;259;1351;2205;1
7;203;1092;1477;1
7;91;469;1659;3
7;154;889;2730;2
7;119;511;1183;3
7;175;875;1078;3
28;189;1127;1743;1
21;231;1414;2464;1
21;126;637;749;2
14;98;308;322;3
14;49;119;518;2
7;84;350;679;3
7;84;287;525;3
14;70;273;322;2
14;28;91;126;3
14;35;154;315;2
7;175;791;1008;3
14;161;1141;1869;1
7;224;917;945;3
7;28;84;147;3
7;266;910;1190;3
7;77;315;1001;3
7;84;294;672;3
14;133;854;1631;2
14;154;567;819;2
7;140;532;1624;1
14;217;1120;2310;2
7;210;609;1169;3
21;98;420;581;2
7;98;259;399;3
7;28;126;329;3
7;56;189;455;3
14;91;497;679;2
7;49;168;252;3
7;42;224;406;3
21;140;861;1379;2
28;175;1050;2268;1
21;84;315;973;2
14;77;329;637;2
14;91;413;1232;1
21;105;777;1253;1
14;91;476;903;2
7;91;294;700;2
21;175;826;1134;2
0;0;0;0;3
7;112;420;1078;3
7;77;364;483;3
14;147;644;952;2
7;42;315;378;3
14;105;595;868;2
14;119;560;1022;2
7;91;301;861;3
7;35;84;133;3
7;224;973;1666;3
14;133;448;952;2
14;77;392;847;2
14;182;980;1498;2
14;84;399;896;2
21;133;539;413;3
21;231;1120;917;2
21;105;406;938;2
14;154;966;2093;2
7;56;189;588;3
7;105;308;490;3
21;91;875;2814;2
7;49;119;280;3
14;70;308;378;3
21;133;511;826;2
14;140;770;1057;2
7;98;525;658;3
14;133;1008;2184;1
7;84;294;553;3
28;98;413;735;2
7;49;126;259;3
14;140;455;511;2
14;133;987;1421;1
14;189;854;1253;2
14;84;280;420;3
7;133;609;1869;1
21;203;1148;2289;1
14;161;567;1617;2
21;175;742;1022;2
14;168;1365;3353;1
21;42;154;315;3
7;245;1246;2387;2
14;56;231;308;2
21;196;2240;6748;1
14;147;931;1757;2
7;126;497;1848;1
14;259;1078;3738;2
7;7;28;378;3
14;112;406;1169;2
14;35;147;245;2
21;56;266;854;2
7;0;0;0;3
7;119;504;1197;3
7;42;406;651;3
14;98;511;875;2
14;112;434;938;2
21;98;203;798;2
7;140;518;938;3
21;161;875;1330;2
0;91;385;525;3
14;189;868;2667;2
21;49;189;357;3
7;35;112;182;3
7;70;511;1344;3
0;7;28;126;3
21;119;560;1085;1
21;154;812;952;2
7;42;238;357;3
14;154;679;1617;2
14;91;385;448;2
7;77;483;1666;1
7;28;112;147;3
14;49;182;322;2
7;112;791;1799;3
21;189;938;1372;2
0;175;791;2247;3
14;70;273;511;2
21;147;581;1400;2
14;77;322;721;3
21;63;217;322;2
7;147;630;1806;1
14;56;315;1099;1
14;140;833;777;2
7;42;217;182;3
21;126;574;1372;2
7;154;609;1568;3
14;287;1190;1967;1
7;56;280;448;3
14;147;910;1771;1
14;91;350;1099;1
14;91;665;1771;2
0;56;203;280;3
7;42;154;168;3
14;28;112;231;3
14;77;224;420;2
7;49;511;1134;3
14;56;154;322;3
7;203;1092;2107;1
14;56;252;413;2
7;63;266;700;3
14;140;476;861;2
7;91;294;861;3
21;168;644;1071;2
21;147;539;770;2
14;63;245;420;3
14;301;1743;3339;1
14;119;420;651;2
7;56;350;714;3
7;91;301;336;3
7;42;182;616;3
7;49;189;434;3
14;49;252;728;2
7;42;203;756;3
0;161;469;903;3
14;91;735;1701;2
14;7;35;168;3
14;161;763;924;2
7;70;350;1071;3
21;231;1085;1967;2
21;217;931;875;2
21;133;595;770;2
7;168;994;2282;1
7;56;476;812;3
7;49;259;630;3
14;35;434;994;2
14;49;245;217;2
7;84;406;931;3
7;70;301;511;3
7;98;483;714;3
7;49;252;945;3
14;49;315;413;2
7;42;455;1386;1
7;63;294;609;3
7;140;756;1260;2
7;42;392;1050;3
14;91;420;1043;2
14;133;504;966;2
14;119;770;1190;2
7;77;287;623;3
7;70;343;1281;3
7;63;231;455;3
14;28;119;224;2
14;14;77;77;3
7;28;168;252;3
7;42;154;175;3
7;56;217;224;3
14;98;462;1456;2
21;126;700;1785;1
21;119;595;1603;2
14;119;427;1701;2
14;105;553;1750;2
0;77;231;1057;3
14;49;161;434;2
14;126;756;1239;2
21;133;609;1253;2
7;35;175;560;3
7;42;182;364;3
14;203;896;1155;2
14;182;1085;1449;1
7;56;175;322;3
14;105;343;294;2
7;203;910;1113;3
7;126;595;924;3
7;63;231;343;3
7;63;273;287;3
7;210;952;1120;3
7;119;630;777;3
28;56;287;812;2
14;63;308;910;2
28;140;756;1253;2
21;77;329;1113;2
21;140;441;651;2
28;77;196;336;2
14;91;287;420;2
21;84;343;896;2
14;77;287;511;2
7;161;679;2044;1
7;35;168;532;3
7;105;329;917;3
14;161;889;1435;2
14;112;357;483;2
7;196;448;777;3
14;56;189;511;3
7;133;343;392;3
14;175;539;532;2
14;238;1225;2926;2
7;119;609;798;2
14;203;833;1771;2
14;126;546;1155;2
21;84;315;560;2
7;105;343;637;3
7;21;84;105;3
14;175;1141;1484;1
14;56;175;343;3
7;84;182;371;3
21;119;763;2058;1
14;266;1288;2023;1
14;105;504;763;2
14;91;259;560;3
28;91;378;518;2
21;154;826;1715;2
14;91;343;1113;2
14;147;791;1470;2
7;14;21;42;3
7;189;777;1190;3
14;112;560;749;2
7;91;287;406;3
7;63;161;133;3
7;63;546;1141;3
7;77;868;1890;3
14;154;749;1036;1
7;133;714;1015;3
14;70;224;378;3
21;217;1281;1778;1
14;77;476;882;2
21;98;644;861;2
7;56;161;553;3
0;112;490;1127;3
14;56;252;497;2
14;126;392;525;2
21;182;1414;2730;1
7;98;560;1127;3
7;35;91;98;3
14;42;182;532;2
14;77;252;791;3
0;0;0;0;3
7;84;329;847;3
28;119;455;539;2
7;133;686;1176;3
7;42;133;217;3
28;161;651;700;2
14;175;777;1155;2
14;84;245;406;3
14;140;728;1246;2
14;112;630;826;2
7;35;196;861;3
21;224;1561;2415;1
7;161;700;1596;2
7;140;413;399;3
21;147;560;770;2
21;119;511;665;2
14;301;1239;2324;2
0;0;0;0;3
21;196;1211;1757;1
14;98;455;525;3
14;91;399;1106;1
7;70;259;665;3
28;280;1897;4109;1
21;133;959;1428;2
7;245;952;2415;2
7;91;217;287;3
0;0;0;0;3
14;287;2765;7707;1
14;112;399;497;2
7;14;56;483;3
21;49;294;497;2
7;210;1134;1484;1
14;98;476;1169;2
7;154;910;1323;3
7;70;490;1148;3
14;126;525;882;2
21;224;1477;2065;1
7;7;28;77;3
21;84;273;329;3
14;266;1148;1981;1
21;168;840;2191;1
7;98;434;1428;3
14;231;602;847;2
14;140;679;1225;2
0;0;0;0;3
7;56;217;609;3
14;63;217;322;3
7;63;336;588;3
7;84;483;798;3
21;70;322;560;2
7;112;518;924;3
7;63;287;1057;3
21;182;812;1197;2
21;182;742;2114;1
21;168;854;1155;2
21;196;1246;1988;1
7;42;98;63;3
14;161;672;896;2
21;245;1757;3059;1
14;147;721;812;2
7;56;168;399;3
7;252;1624;2842;1
14;56;322;385;3
7;126;847;1925;3
7;49;203;371;3
7;84;301;763;3
21;119;462;469;2
7;14;119;483;3
7;105;490;1463;3
7;91;371;742;2
14;21;77;252;3
14;189;1554;3227;1
21;196;777;931;2
0;21;63;112;3
7;112;462;1064;3
14;294;980;1456;2
14;294;1659;2905;1
21;280;1687;3738;1
14;91;266;518;3
7;147;567;1519;2
0;35;140;588;3
7;7;14;35;3
28;119;861;1365;2
14;224;2443;6230;1
14;154;742;1211;2
7;0;0;0;3
7;84;476;777;2
7;112;476;798;3
7;49;252;1008;3
7;84;350;651;3
0;42;105;609;3
21;217;1267;1694;2
14;133;623;994;2
7;84;448;917;3
7;203;1050;1470;3
7;56;203;511;3
21;140;728;1176;2
7;105;504;1169;3
14;105;546;966;2
21;168;1120;1680;1
7;203;805;1309;3
14;56;273;266;3
7;35;203;602;3
21;336;2023;3514;1
7;35;91;273;3
21;133;497;658;2
21;84;357;595;2
21;147;735;1106;2
7;28;175;364;3
28;196;1120;1659;1
14;56;175;266;3
7;273;1288;2191;2
7;105;231;126;3
14;28;161;168;2
14;91;364;651;2
14;63;294;1197;3
21;161;1050;2107;2
0;63;399;1050;3
28;189;749;924;2
21;56;182;287;3
0;0;0;0;3
14;203;1232;1939;1
14;63;210;315;3
14;77;399;854;2
14;70;350;504;2
7;140;525;693;3
7;98;357;651;3
7;112;826;1281;3
7;28;105;273;3
14;70;252;1232;2
14;126;644;693;2
7;154;637;1232;3
21;259;959;1477;1
14;175;1134;2212;1
7;161;805;1176;3
7;147;1001;2681;2
7;140;525;763;3
7;182;896;1064;3
21;133;455;1211;2
14;49;245;441;2
7;49;210;259;3
21;203;1407;2310;1
7;49;140;322;3
7;133;420;763;3
21;483;3346;9023;1
21;259;1127;1631;1
14;112;497;1491;1
14;168;763;861;2
14;126;574;903;2
14;98;357;994;2
21;70;364;840;2
7;217;1022;1645;3
7;84;378;707;3
14;77;490;875;2
14;182;644;840;2
21;28;161;469;2
7;259;2002;3017;1
7;35;119;245;3
21;70;308;364;3
21;77;322;469;2
7;77;322;483;3
14;21;84;175;2
7;63;154;217;3
7;133;546;903;3
7;140;742;1274;3
14;84;469;651;2
28;238;931;1337;2
0;98;392;1239;3
7;105;399;490;3
7;77;280;966;3
14;119;497;931;2
14;42;175;294;2
7;35;112;287;3
7;35;119;189;3
7;119;469;1267;3
14;91;294;385;3
21;175;791;2289;2
7;84;672;1239;3
7;126;756;1057;3
7;77;406;1106;3
21;217;651;966;2
7;203;973;1190;3
14;175;1057;2156;2
0;77;385;644;3
7;91;539;742;3
28;119;770;1288;2
7;84;413;623;3
21;245;1400;1939;1
14;77;567;1680;1
7;28;105;343;3
7;182;1638;3129;1
14;147;658;791;2
7;42;112;161;3
0;308;2163;4123;3
21;133;441;616;2
0;0;0;0;3
7;252;798;1316;3
7;84;406;637;3
14;84;399;1596;2
7;84;427;1806;3
14;133;490;588;2
21;336;1743;2765;1
14;98;490;553;2
7;84;287;427;3
7;203;1239;1827;1
21;231;812;882;2
21;147;1008;1617;2
21;168;693;539;2
7;119;525;924;3
0;91;308;574;3
14;105;532;1442;2
21;140;728;1862;2
21;91;420;791;2
14;91;308;539;2
7;273;1372;2163;2
14;140;644;1281;2
7;189;1722;3304;2
14;154;469;462;2
14;105;441;1232;2
14;91;231;322;3
7;175;903;1008;3
7;154;952;1610;1
7;91;525;1218;3
0;0;0;0;3
0;0;0;0;3
14;147;441;833;2
7;63;336;574;3
14;175;672;2114;2
14;70;280;441;2
14;161;777;1071;2
21;112;413;1078;2
21;84;343;574;2
14;203;945;1617;2
7;112;476;854;3
7;91;371;889;3
7;77;308;742;3
0;7;14;35;3
14;84;511;672;2
14;112;315;490;2
7;91;280;623;3
14;224;917;1043;2
21;161;721;1351;2
14;224;1491;2177;1
7;28;70;238;3
7;224;644;714;3
14;119;567;826;2
14;161;903;1386;1
14;63;273;448;2
21;91;294;434;2
7;63;168;259;3
14;63;273;504;2
7;77;350;966;3
14;28;77;238;3
21;70;259;280;3
21;245;980;1757;2
0;0;0;0;3
0;0;0;0;3
0;0;0;0;3
14;49;182;266;2
14;175;1050;1995;2
7;35;154;140;3
7;77;364;952;2
14;70;308;399;2
7;203;938;1162;3
7;112;287;245;3
21;147;560;966;2
7;140;476;721;3
21;112;511;1218;1
7;63;196;406;3
21;175;1652;2940;1
7;77;294;616;3
14;259;1337;2219;2
21;231;959;1365;2
21;147;1008;1484;1
7;126;399;742;3
14;84;378;504;2
21;77;448;770;2
7;63;259;539;3
14;126;525;1246;1
14;273;812;994;2
7;161;749;938;3
21;168;714;966;2
7;70;224;385;3
14;154;602;868;2
21;168;623;728;2
14;70;189;357;3
7;189;756;2457;2
7;63;203;280;3
7;126;532;1463;3
14;56;175;350;2
7;21;105;336;3
7;84;385;707;3
21;133;525;546;2
14;105;350;686;3
21;91;273;532;2
14;245;1477;2170;1
21;224;1106;1904;2
7;21;98;315;3
7;119;623;1372;3
7;322;1232;1701;3
14;126;546;1029;2
7;294;1617;2534;1
21;252;1064;1974;2
14;70;245;637;2
14;126;721;1295;2
7;112;427;707;3
7;28;133;161;3
21;140;882;1337;2
21;112;539;1225;2
7;63;280;770;3
7;77;371;1064;3
14;98;420;707;2
7;147;1729;3374;2
7;105;322;462;3
7;175;714;700;3
28;392;2877;7000;1
7;63;189;455;3
14;161;672;1036;2
21;161;1113;1960;1
7;210;1085;1547;1
21;252;1617;2401;1
7;21;42;119;3
14;147;574;1190;2
21;161;518;854;2
14;119;483;861;2
14;203;812;2646;2
14;140;525;1764;2
14;119;455;1386;2
7;119;462;826;3
7;91;322;966;3
21;56;203;756;2
14;182;518;714;2
21;161;707;1050;2
14;105;343;546;3
14;133;511;917;2
14;42;238;203;3
21;182;812;987;2
14;70;217;343;2
7;217;1078;1456;1
7;63;175;308;3
7;175;938;1484;1
7;49;252;483;3
14;154;539;560;2
14;294;1288;2023;2
21;147;1008;1477;1
7;105;420;924;3
21;252;2261;5306;1
21;322;1519;2450;1
21;14;91;210;2
7;35;126;259;3
21;210;1260;1631;1
21;217;1183;2191;1
14;252;1239;2212;2
7;119;427;917;3
14;126;434;588;2
7;189;2282;5495;2
7;126;497;875;3
14;175;672;826;2
7;77;308;483;3
14;266;1911;3087;1
14;70;287;441;2
21;84;525;1050;2
7;91;329;770;3
14;91;420;924;2
7;49;224;364;3
21;203;2198;5257;1
14;196;917;2016;2
7;189;749;1099;3
7;70;231;595;3
7;91;392;497;3
7;77;399;518;3
0;140;483;595;3
14;266;1666;2366;1
7;42;224;196;3
7;126;441;945;3
7;77;357;1204;3
7;63;308;532;3
21;203;791;756;2
21;140;973;1274;2
7;91;336;805;3
21;161;756;1743;1
7;49;378;1386;1
14;84;455;756;2
14;84;497;742;2
21;70;252;343;3
21;98;434;532;2
14;126;560;714;2
14;189;1239;1589;1
14;42;350;574;2
14;70;315;728;2
7;28;126;378;3
7;119;462;602;3
14;70;252;434;3
14;140;357;483;2
7;42;238;238;3
0;105;434;1617;3
7;266;1169;1960;3
14;63;189;371;3
21;266;1267;2275;1
14;119;728;1008;2
7;84;476;581;3
21;140;763;1001;2
28;77;476;616;2
21;112;672;1176;2
7;28;112;280;3
